id,name,rating,hotel_id
1970324837384079,Ayvalik Cinar Hotel,,348
1970324837384080,Billurcu Hotel,,1
1970324837384081,Bartin Test Hotel,,2109501
1970324837384082,"Swissotel Uludag, Bursa",,2109598
1970324837384083,Questa Thermal & SPA Hotel Eskisehir,,2109515
1970324837384084,Trademark Collection by Wyndham Operla Airport Hotels,,2109542
1970324837384085,Ramada Encore By Wyndham Istanbul Airport,,2109595
1970324837384086,"Park Inn by Radisson Istanbul Airport, Odayeri",,439
1970324837384087,Radisson Blu Hotel Istanbul Asia,,296
1970324837384088,Dedeman Bostanci,,362
1970324837384089,The Green Park Bostancı,,234
1970324837384090,Park Dedeman Bostanci Hotel,,5724
1970324837384091,Sheraton Grand Istanbul Atasehir,,9276
1970324837384092,Selectum City Ataşehir,,2109520
1970324837384093,DoubleTree by Hilton Istanbul Avcilar,,307
1970324837384094,Retaj Royale Hotel,,328
1970324837384095,Wyndham Grand Istanbul Europe,,339
1970324837384096,Clarion Hotel Istanbul Mahmutbey,,410
1970324837384097,Wanda Vista Istanbul,,2109586
1970324837384098,G Tower Furnished Apartment Rentals,,2109587
1970324837384099,The Superior Living Batisehir,,10419
1970324837384100,WestSide Residences by Rotana,,445
1970324837384101,Centro WestSide Istanbul,,444
1970324837384102,Mercure Istanbul West Hotel & Convention Center,,381
1970324837384103,Pullman Istanbul Hotel & Convention Center,,385
1970324837384104,Renaissance Polat Istanbul Hotel,,162
1970324837384105,Mercure Istanbul Bakirkoy,,304
1970324837384106,Hilton Istanbul Bakirkoy,,437
1970324837384107,Ramada Plaza by Wyndham Istanbul Atakoy,,4969
1970324837384108,"Crowne Plaza Istanbul Florya, Bir IHG Oteli",,8879
1970324837384109,Hampton By Hilton Istanbul Atakoy,,9136
1970324837384110,Titanic Port Bakirkoy,,251
1970324837384111,Hilton Mall of Istanbul,,482
1970324837384112,DoubleTree by Hilton Istanbul Topkapi,,430
1970324837384113,Windsor Hotel & Convention Center Istanbul ,,3878
1970324837384114,Surmeli Istanbul Hotel,,716
1970324837384115,The Stay Bosphorus,,305
1970324837384116,Conrad Istanbul Bosphorus,,27
1970324837384117,"Radisson Blu Bosphorus Hotel, Istanbul",,190
1970324837384118,Renaissance Istanbul Polat Bosphorus Hotel,,311
1970324837384119,Dedeman Istanbul,,95
1970324837384120,Swissotel The Bosphorus Istanbul,,33
1970324837384121,Movenpick Hotel Istanbul Bosphorus,,2495
1970324837384122,Sofitel Istanbul Taksim,,17218
1970324837384123,Golden Age Hotel İstanbul,,28
1970324837384124,Root Karakoy,,18696
1970324837384125,Ramada by Wyndham İstanbul Pera,,34
1970324837384126,Richmond Istanbul,,32
1970324837384127,Triada Hotel Taksim,,3201
1970324837384128,Palazzo Donizetti Hotel - Special Class,,3448
1970324837384129,Orka Taksim Suites & Hotel,,2109434
1970324837384130,Ramada by Wyndham Istanbul Golden Horn,,416
1970324837384131,Ramada by Wyndham Istanbul Taksim,,139
